D1_DI_CS,D1_DI_CW,D1_DI_GA,D1_DI_OS,D1_ST_CS,D1_ST_CW,D1_ST_GA,D1_ST_OS,D2_DI_CW,D2_DI_FB,D2_DI_GA,D2_DI_OW,D2_ST_CW,D2_ST_FB,D2_ST_GA,D2_ST_OW,D3_DI_CS,D3_DI_CW,D3_DI_FB,D3_DI_GA,D3_DI_LG,D3_DI_MZ,D3_DI_OS,D3_DI_OW,D3_DI_PF,D3_DI_PS,D3_DI_SB,D3_DI_VB,D3_DI_VL,D3_DI_VR,D4_PO_CS,D4_PO_CW,D4_PO_FB,D4_PO_GA,D4_PO_LG,D4_PO_MZ,D4_PO_OS,D4_PO_OW,D4_PO_PF,D4_PO_PS,D4_PO_SB,D4_PO_VB,D4_PO_VL,D4_ST_CS,D4_ST_CW,D4_ST_FB,D4_ST_GA,D4_ST_LG,D4_ST_MZ,D4_ST_OS,D4_ST_OW,D4_ST_PF,D4_ST_PS,D4_ST_SB,D4_ST_VB,D4_ST_VL,D5_PO_CS,D5_PO_CW,D5_PO_GA,D5_PO_LG,D5_PO_MZ,D5_PO_OS,D5_PO_OW,D5_PO_PF,D5_PO_SU,D5_ST_CS,D5_ST_CW,D5_ST_GA,D5_ST_LG,D5_ST_MZ,D5_ST_OS,D5_ST_OW,D5_ST_PF,D5_ST_SU,D6_DI_CI,D6_DI_CO,D6_DI_CW,D6_DI_FB,D6_DI_LG,D6_DI_MZ,D6_DI_OL,D6_DI_PS,D6_DI_VB,D6_DI_VF,D6_DI_VI,D6_DI_VL,D6_DI_VR
0.30105,0.30108,0.30043,0.30105,0.31462,0.31499,0.30589,0.31461,0.30301,0.30312,0.30246,0.30276,0.34606,0.34796,0.33625,0.34146,0.30672,0.30672,0.30642,0.30576,0.30672,0.30664,0.30613,0.30634,0.30579,0.30682,0.30635,0.30679,0.30687,0.30680,1.0019,1.0019,1.0019,1.0018,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019,0.35621,0.35697,0.35621,0.34972,0.35621,0.35621,0.35621,0.35676,0.35591,0.35621,0.35613,0.35621,0.35621,1.0029,1.0029,1.0028,1.0029,1.0029,1.0029,1.0029,1.0029,1.0029,0.39837,0.39882,0.39181,0.39837,0.39837,0.39837,0.39734,0.39837,0.39837,0.30137,0.30691,0.30137,0.30691,0.30691,0.30691,0.30137,0.30691,0.30695,0.30691,0.30137,0.30691,0.30695
0.30103,0.30103,0.30043,0.30103,0.31421,0.31425,0.30589,0.31421,0.30266,0.30271,0.30210,0.30257,0.33979,0.34054,0.33029,0.33810,0.30665,0.30665,0.30638,0.30571,0.30665,0.30656,0.30605,0.30627,0.30576,0.30675,0.30630,0.30673,0.30679,0.30674,1.0019,1.0019,1.0019,1.0018,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019,0.35453,0.35500,0.35453,0.34773,0.35453,0.35453,0.35452,0.35467,0.35442,0.35453,0.35449,0.35453,0.35453,1.0026,1.0026,1.0025,1.0026,1.0026,1.0026,1.0026,1.0026,1.0026,0.37775,0.37876,0.37332,0.37775,0.37775,0.37775,0.37772,0.37775,0.37775,0.30137,0.30623,0.30137,0.30623,0.30623,0.30623,0.30137,0.30623,0.30627,0.30623,0.30137,0.30623,0.30628
0.30102,0.30102,0.30043,0.30102,0.31415,0.31418,0.30589,0.31415,0.30264,0.30276,0.30189,0.30235,0.33948,0.34151,0.32695,0.33435,0.30662,0.30662,0.30635,0.30569,0.30661,0.30650,0.30604,0.30623,0.30574,0.30671,0.30627,0.30669,0.30675,0.30670,1.0019,1.0019,1.0019,1.0018,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019,0.35298,0.35360,0.35298,0.34599,0.35298,0.35298,0.35298,0.35340,0.35272,0.35298,0.35286,0.35298,0.35298,1.0023,1.0024,1.0023,1.0023,1.0023,1.0023,1.0024,1.0023,1.0023,0.36531,0.36616,0.36221,0.36531,0.36531,0.36531,0.36541,0.36531,0.36531,0.30137,0.30570,0.30137,0.30570,0.30570,0.30570,0.30137,0.30570,0.30573,0.30570,0.30137,0.30570,0.30573
0.30102,0.30102,0.30043,0.30102,0.31415,0.31415,0.30589,0.31415,0.30234,0.30239,0.30170,0.30221,0.33422,0.33503,0.32391,0.33208,0.30654,0.30654,0.30627,0.30565,0.30654,0.30645,0.30598,0.30618,0.30569,0.30663,0.30620,0.30662,0.30668,0.30662,1.0019,1.0019,1.0019,1.0017,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019,0.35261,0.35261,0.35261,0.34426,0.35261,0.35261,0.35261,0.35261,0.35261,0.35261,0.35261,0.35261,0.35261,1.0022,1.0022,1.0022,1.0022,1.0022,1.0022,1.0022,1.0022,1.0022,0.35692,0.35731,0.35476,0.35692,0.35692,0.35692,0.35701,0.35692,0.35692,0.30137,0.30531,0.30137,0.30531,0.30531,0.30531,0.30137,0.30531,0.30533,0.30531,0.30137,0.30531,0.30533
0.30102,0.30102,0.30043,0.30102,0.31415,0.31415,0.30589,0.31415,0.30195,0.30200,0.30140,0.30188,0.32790,0.32863,0.31930,0.32678,0.30648,0.30648,0.30620,0.30561,0.30648,0.30639,0.30592,0.30612,0.30565,0.30656,0.30614,0.30655,0.30661,0.30655,1.0019,1.0019,1.0019,1.0017,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019,0.35261,0.35261,0.35261,0.34257,0.35261,0.35261,0.35261,0.35261,0.35261,0.35261,0.35261,0.35261,0.35261,1.0021,1.0021,1.0020,1.0021,1.0021,1.0021,1.0021,1.0021,1.0021,0.35111,0.35157,0.34849,0.35111,0.35111,0.35111,0.35115,0.35111,0.35111,0.30137,0.30487,0.30137,0.30487,0.30487,0.30487,0.30137,0.30487,0.30489,0.30487,0.30137,0.30487,0.30489
0.30102,0.30102,0.30043,0.30102,0.31413,0.31415,0.30589,0.31413,0.30769,0.30764,0.30364,0.30722,0.45125,0.44994,0.35807,0.43934,0.30642,0.30642,0.30619,0.30557,0.30642,0.30635,0.30591,0.30607,0.30562,0.30649,0.30612,0.30649,0.30657,0.30649,1.0018,1.0019,1.0018,1.0017,1.0018,1.0018,1.0018,1.0018,1.0018,1.0018,1.0018,1.0018,1.0018,0.35114,0.35169,0.35114,0.34135,0.35114,0.35114,0.35114,0.35158,0.35080,0.35114,0.35107,0.35114,0.35114,1.0020,1.0020,1.0020,1.0020,1.0020,1.0020,1.0020,1.0020,1.0020,0.34669,0.34726,0.34347,0.34669,0.34669,0.34669,0.34650,0.34669,0.34669,0.30137,0.30450,0.30137,0.30450,0.30450,0.30450,0.30137,0.30450,0.30453,0.30450,0.30137,0.30450,0.30453
0.30097,0.30101,0.30043,0.30096,0.31334,0.31394,0.30589,0.31333,0.30511,0.30512,0.30216,0.30487,0.38914,0.38935,0.33120,0.38361,0.30635,0.30636,0.30612,0.30553,0.30634,0.30627,0.30583,0.30602,0.30558,0.30642,0.30605,0.30642,0.30649,0.30642,1.0018,1.0018,1.0018,1.0017,1.0018,1.0018,1.0018,1.0018,1.0018,1.0018,1.0018,1.0018,1.0018,0.34951,0.35017,0.34951,0.34000,0.34951,0.34951,0.34951,0.34977,0.34938,0.34951,0.34946,0.34951,0.34951,1.0020,1.0020,1.0019,1.0020,1.0020,1.0020,1.0020,1.0020,1.0020,0.34660,0.34677,0.34031,0.34660,0.34660,0.34660,0.34504,0.34660,0.34660,0.30137,0.30428,0.30137,0.30428,0.30428,0.30428,0.30137,0.30428,0.30430,0.30428,0.30137,0.30428,0.30430
0.30090,0.30094,0.30043,0.30090,0.31237,0.31303,0.30589,0.31237,0.30450,0.30449,0.30170,0.30419,0.37556,0.37550,0.32389,0.36911,0.30629,0.30630,0.30605,0.30547,0.30628,0.30620,0.30579,0.30597,0.30554,0.30637,0.30598,0.30634,0.30642,0.30635,1.0018,1.0018,1.0018,1.0016,1.0018,1.0018,1.0018,1.0018,1.0018,1.0018,1.0018,1.0018,1.0018,0.34799,0.34887,0.34799,0.33915,0.34799,0.34799,0.34799,0.34847,0.34799,0.34799,0.34799,0.34799,0.34799,1.0021,1.0021,1.0019,1.0021,1.0021,1.0021,1.0020,1.0021,1.0021,0.35237,0.35217,0.34152,0.35237,0.35237,0.35237,0.34961,0.35237,0.35237,0.30137,0.30407,0.30137,0.30407,0.30407,0.30407,0.30137,0.30407,0.30408,0.30407,0.30137,0.30407,0.30408
0.30087,0.30091,0.30043,0.30087,0.31201,0.31261,0.30589,0.31200,0.30998,0.30999,0.30904,0.30993,0.51062,0.51090,0.48607,0.50931,0.30625,0.30626,0.30600,0.30544,0.30624,0.30616,0.30575,0.30590,0.30548,0.30632,0.30595,0.30630,0.30634,0.30631,1.0018,1.0018,1.0018,1.0016,1.0018,1.0018,1.0018,1.0018,1.0018,1.0018,1.0018,1.0018,1.0018,0.34673,0.34712,0.34673,0.33803,0.34673,0.34673,0.34673,0.34702,0.34660,0.34673,0.34668,0.34673,0.34673,1.0022,1.0022,1.0019,1.0022,1.0022,1.0022,1.0021,1.0022,1.0022,0.36107,0.35998,0.34541,0.36107,0.36107,0.36107,0.35498,0.36107,0.36107,0.30137,0.30393,0.30137,0.30393,0.30393,0.30393,0.30137,0.30393,0.30400,0.30393,0.30137,0.30393,0.30400
0.30080,0.30083,0.30043,0.30080,0.31096,0.31148,0.30589,0.31096,0.30330,0.30331,0.30270,0.30323,0.35141,0.35161,0.34046,0.35007,0.30619,0.30620,0.30597,0.30540,0.30619,0.30612,0.30569,0.30587,0.30546,0.30627,0.30590,0.30626,0.30631,0.30626,1.0017,1.0018,1.0017,1.0016,1.0017,1.0017,1.0017,1.0018,1.0017,1.0017,1.0017,1.0017,1.0017,0.34515,0.34573,0.34515,0.33669,0.34515,0.34515,0.34514,0.34523,0.34507,0.34514,0.34512,0.34515,0.34515,1.0041,1.0039,1.0024,1.0041,1.0041,1.0041,1.0034,1.0041,1.0041,0.67380,0.64904,0.44842,0.67380,0.67380,0.67380,0.59645,0.67380,0.67380,0.30137,0.30385,0.30137,0.30385,0.30385,0.30385,0.30137,0.30385,0.30389,0.30385,0.30137,0.30385,0.30389
